연번,자료공개 여부,법 적용근거,소유자명,소유자유형,화장실명,공중화장실 구분,광역 자치단체,기초 자치단체,도로명주소,도로명 상세주소,지번주소,지번 상세주소,위도,경도,남녀공용 화장실여부,남녀 미분리 (공용)변기수,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용 대변기수,여성용-어린이용대변기수,관리기관명,관리기관 전화번호,개방시간,설치연월,오물 처리방식,안전관리시설 설치의무 조례지정여부,비상벨 설치여부,비상벨설치장소,화장실입구 (CCTV)설치 유무,기저귀 교환대유무,기저귀교환대장소,리모델링 연월,데이터기준일자
14,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 1호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온천동 산27-4,,35.21926,129.0756,N,0,3,3,0,0,0,0,4,0,0,부산광역시설공단,051-860-7880,,1984.12.1,수세식,N,Y,남자화장실/여자화장실,N,Y,남자화장실/여자화장실,2024.6.23,2025.6.27
15,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 2호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온천동 산38-2,,35.21901,129.0747,N,0,3,7,1,0,0,0,5,1,0,부산광역시설공단,051-860-7880,,2024.3.1,수세식,N,Y,남자화장실/여자화장실,N,N,,,2025.6.27
16,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 3호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온천동 산20-1,,35.22004,129.0751,N,0,2,5,1,0,0,0,5,1,0,부산광역시설공단,051-860-7880,,1988.12.1,수세식,N,Y,남자화장실/여자화장실,N,N,,,2025.6.27
17,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 4호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온천동 산20-4,,35.22031,129.0733,N,0,2,3,0,0,0,0,2,0,0,부산광역시설공단,051-860-7880,,1905.5.31,수세식,N,Y,남자화장실/여자화장실,N,Y,남자화장실,,2025.6.27
18,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 5호 화장실(남/녀),개방화장실,부산광역시,동래구,부산광역시 동래구 우장춘로 157-67 (온천동),,부산광역시 동래구 온천동 산17-7,,35.2223,129.0728,N,0,4,5,0,0,0,0,5,0,0,부산광역시설공단,051-860-7880,,1905.6.11,수세식,N,Y,남자화장실/여자화장실,N,Y,여자화장실,,2025.6.27
19,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 6호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온청동 산13-3,,35.2227,129.075,N,0,3,4,0,0,0,0,4,0,0,부산광역시설공단,051-860-7880,,1988.5.1,수세식,N,Y,남자화장실/여자화장실,N,Y,남자화장실/여자화장실,,2025.6.27
20,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 7호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온천동 산20-4,,35.22034,129.0733,N,0,2,3,0,0,0,0,2,0,0,부산광역시설공단,051-860-7880,,1905.5.31,수세식,N,Y,남자화장실/여자화장실,N,N,,,2025.6.27
21,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 8호 화장실(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 온천동 산133,,35.2238,129.0679,N,0,3,4,0,0,0,0,3,0,0,부산광역시설공단,051-860-7880,,2024.3.1,수세식,N,Y,남자화장실/여자화장실,N,N,,,2025.6.27
22,Y,법제3조제1호,부산광역시설공단,공공기관-지방자치단체,금강공원 관리사무실(1층/2층),개방화장실,부산광역시,동래구,부산광역시 동래구 우장춘로 155,관리사무실(1층/2층),부산광역시 동래구 온천동 291-1 금강공원,,35.22003,129.0761,Y,3,0,2,0,0,0,0,0,0,0,부산광역시설공단,051-860-7880,,1974.1.1,수세식,N,N,,N,N,,,2025.6.27
23,Y,법제3조제6호,부산광역시,공공기관-지방자치단체,공영주차장 명륜역(공용),개방화장실,부산광역시,동래구,,,부산광역시 동래구 명륜2동 721-2,,35.2136552,129.0805482,Y,4,0,0,0,0,0,0,0,0,0,부산광역시설공단,1670-8137,00:00~24:00,1985.7.1,수세식,N,N,,N,N,,,2025.6.27
24,Y,법제3조제6호,부산광역시,공공기관-지방자치단체,공영주차장 동래역(남/녀),개방화장실,부산광역시,동래구,,,부산광역시 동래구 명륜1동 549-3,,35.20717268,129.078508,Y,1,1,1,0,0,0,0,1,0,0,부산광역시설공단,1670-8138,00:00~24:00,1985.7.1,수세식,N,Y,남자화장실/여자화장실,N,N,,,2025.6.27
25,Y,법제3조제6호,부산광역시,공공기관-지방자치단체,공영주차장 온천장역(공용),개방화장실,부산광역시,동래구,부산광역시 동래구 중앙대로 1520 (온천동),,부산광역시 동래구 온천1동 1750-1,,35.2191438,129.0858797,Y,4,0,0,0,0,0,0,0,0,0,부산광역시설공단,1670-8139,00:00~24:00,1985.7.1,수세식,N,Y,남자화장실/여자화장실,N,N,,,2025.6.27
26,Y,법제3조제6호,부산광역시,공공기관-지방자치단체,공영주차장 수안주차빌딩(남/녀),개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로218번길 15 (수안동),,부산광역시 동래구 수안동 3-3,,35.20164538,129.0840679,N,0,1,1,0,0,0,0,1,0,0,부산광역시설공단,1670-8140,00:00~24:00,1985.7.1,수세식,N,N,,N,N,,,2025.6.27
27,Y,법제3조제16호-영제3조제1항제5호,부산광역시,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",부산사회복지종합센터,개방화장실,부산광역시,동래구,부산광역시 동래구 낙민로 25,부산사회복지종합센터,부산광역시 동래구 낙민동 127-4,부산사회복지종합센터,35.19786,129.0905,N,0,5,5,5,5,0,0,31,5,0,부산사회복지종합센터,051-558-5630,07:00~22:00,2023.3.9,수세식,N,Y,장애인화장실,N,N,,,2025.6.27
28,Y,법제3조제16호-영제3조제1항제1호,상수도사업본부 동래통합사업소,공공기관-지방자치단체,상수도사업본부 동래통합사업소,개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 330,,부산광역시 강서구 명장동 333,,35.2086,129.1041,N,0,6,6,1,1,0,0,6,1,0,부산광역시 상수도사업본부 동래통합사업소,051-669-5205,09:00~18:00,1985.5.1,수세식,N,N,,N,N,,,2025.6.27
29,Y,법제3조제16호-영제3조제1항제1호,상수도사업본부 명장정수사업소,공공기관-지방자치단체,명장정수사업소 본관,개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 310,,부산광역시 동래구 명장동 345번지,,35.20692597,129.1042592,N,0,6,6,1,0,0,0,6,1,0,부산광역시 상수도사업본부 명장정수사업소,051-669-4776,00:00~24:00,2024.12.4,수세식,N,N,,N,N,,,2025.6.27
30,Y,법제3조제16호-영제3조제1항제1호,상수도사업본부 명장정수사업소,공공기관-지방자치단체,명장정수사업소 경비실,개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 310,,부산광역시 동래구 명장동 345번지,,35.20716601,129.1035956,N,0,1,0,1,0,0,0,0,0,0,부산광역시 상수도사업본부 명장정수사업소,051-669-4776,00:00~24:00,2024.1.5,수세식,N,N,,N,N,,,2025.6.27
31,Y,법제3조제16호-영제3조제1항제1호,상수도사업본부 명장정수사업소,공공기관-지방자치단체,명장정수사업소 식당동,개방화장실,부산광역시,동래구,부산광역시 동래구 반송로 310,,부산광역시 동래구 명장동 345번지,,35.206358,129.1043037,N,0,2,2,0,0,0,0,2,0,0,부산광역시 상수도사업본부 명장정수사업소,051-669-4776,00:00~24:00,2024.1.5,수세식,N,N,,N,N,,,2025.6.27
32,Y,법제3조제16호-영제3조제1항제1호,상수도사업본부 시설관리사업소 시설안전2팀 북부지소,공공기관-지방자치단체,상수도사업본부 북부지소,개방화장실,부산광역시,동래구,부산광역시 동래구 시실로164,,부산광역시 동래구 명장동 514-6,,35.2091195,129.0978906,Y,2,1,1,0,0,0,0,0,0,0,부산광역시 상수도사업본부 시설관리사업소 북부지소,051-669-5672,00:00~24:00,2024.9.20,수세식,N,N,,N,N,,,2025.6.27
33,Y,법제3조제13호,체육시설관리사업소,공공기관-지방자치단체,사직야구장,개방화장실,부산광역시,동래구,"부산광역시 동래구 사직로 45 (사직동, 사직야구장)",,부산광역시 동래구 사직동 960,,35.194533,129.061335,N,0,10,86,0,0,0,0,16,0,0,체육시설관리사업소,500-2151,06:00~21:00,1905.6.7,수세식,N,N,,N,N,,,2025.6.27
34,Y,법제3조제13호,체육시설관리사업소,공공기관-지방자치단체,체육관외곽화장실,개방화장실,부산광역시,동래구,"부산광역시 동래구 사직로 45 (사직동, 사직야구장)",,부산광역시 동래구 사직동 960,,35.192605,129.059596,N,0,2,5,0,0,0,0,4,0,0,체육시설관리사업소,500-2151,00:00~24:00,1905.6.7,수세식,N,N,,Y,N,,,2025.6.27
35,Y,법제3조제13호,체육시설관리사업소,공공기관-지방자치단체,야구장외곽화장실,개방화장실,부산광역시,동래구,"부산광역시 동래구 사직로 45 (사직동, 사직야구장)",,부산광역시 동래구 사직동 960,,35.19477,129.062469,N,0,2,4,0,0,0,0,8,0,0,체육시설관리사업소,500-2151,00:00~24:00,1905.6.7,수세식,N,N,,Y,N,,2020.12.1,2025.6.27
36,Y,법제3조제13호,체육시설관리사업소,공공기관-지방자치단체,사직실내체육관,개방화장실,부산광역시,동래구,"부산광역시 동래구 사직로 55-32 (사직동, 실내 체육관)",,부산광역시 동래구 사직동 930-2,,35.192233,129.060223,N,0,39,59,0,0,0,0,90,0,0,체육시설관리사업소,500-2151,06:00~21:00,1905.6.7,수세식,N,N,,N,N,,2019.12.1,2025.6.27
37,Y,법제3조제13호,체육시설관리사업소,공공기관-지방자치단체,사직실내수영장,개방화장실,부산광역시,동래구,"부산광역시 동래구 사직로 55-32 (사직동, 실내 체육관)",,부산광역시 동래구 사직동 930-2,,35.192514,129.063306,N,0,11,14,0,0,0,0,20,0,0,체육시설관리사업소,500-2151,06:00~21:00,1905.6.11,수세식,N,N,,N,N,,2019.12.1,2025.6.27
38,Y,법제3조제13호,부산광역시,공공기관-지방자치단체,부산광역시체육회관,개방화장실,부산광역시,동래구,부산광역시 동래구 사직로 77,,부산광역시 동래구 사직2동 749-6,,35.19,129.06,N,0,14,11,1,4,0,0,29,1,0,부산광역시체육회,051-500-7916,06:00~22:00,2024.7.8,수세식,N,N,,N,N,,,2025.6.27
39,Y,법제3조제16호-영제3조제1항제1호,부산광역시,공공기관-지방자치단체,충렬사,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로 345,,부산광역시 동래구 안락동 421-33,,35.20017085,129.0957227,N,0,4,3,1,1,0,0,5,1,1,충렬사관리사무소,051-888-7216,09:00~21:00,1978.6.1,수세식,N,Y,남자화장실/여자화장실/장애인화장실,N,Y,여자화장실,,2025.6.27
40,Y,법제3조제16호-영제3조제1항제2호,부산광역시,공공기관-지방자치단체,부산해양자연사박물관,개방화장실,부산광역시,동래구,부산광역시 동래구 우장춘로 175,,부산광역시 동래구 온천동 산13-1,,35.221778,129.075963,N,0,8,13,4,4,2,2,13,4,2,해양자연사박물관,051-553-4944,09:00~18:00,2024.4.3,수세식,N,N,,N,Y,여자화장실,,2025.6.27
41,Y,법제3조제16호-영제3조제1항제1호,부산환경공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",수영환경공원,개방화장실,부산광역시,동래구,부산광역시 동래구 온천천남로 185,,부산광역시 동래구 안락동 1108,,35.187881,129.1125855,N,0,3,4,1,1,0,0,3,1,0,부산환경공단 수영사업단,051-719-3343,(하절기)06:00~20:00(동절기)07:00~19:00,1992.3.1,수세식,N,Y,남자화장실/여자화장실/장애인화장실,N,N,,,2025.6.27
42,Y,법제3조제16호-영제3조제1항제1호,부산환경공단,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",MBR공원,개방화장실,부산광역시,동래구,부산광역시 동래구 온천천남로 185,,부산광역시 동래구 안락동 1108,,35.18821433,129.1143281,N,0,3,2,1,1,0,0,5,1,0,부산환경공단 수영사업단,051-719-3343,(하절기)06:00~20:00(동절기)07:00~19:00,2024.12.12,수세식,N,Y,남자화장실/여자화장실/장애인화장실,N,N,,,2025.6.27
43,Y,법제3조제16호-영제3조제1항제2호,부산광역시,공공기관-지방자치단체,복천박물관,개방화장실,부산광역시,동래구,부산광역시 동래구 복천로 66,,부산광역시 동래구 복천동 50번지,,35.20738474,129.0917929,N,0,13,20,4,4,4,4,13,4,4,복천박물관,051-550-0324,09:00~18:00,1996.2.26,수세식,N,Y,장애인화장실,Y,Y,남자화장실/여자화장실,,2025.6.27
44,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,온천제3동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 사직북로28번길 153,1-3층,부산광역시 동래구 온천동 1256-6,1-3층,35.20351433,129.0655693,N,0,2,2,2,0,0,0,4,2,0,동래구 온천3동행정복지센터,051-550-6421,09:00~18:00,2024.12.22,수세식,N,Y,장애인화장실,N,N,,,2025.6.27
45,Y,법제3조제16호-영제3조제1항제1호,사직지구대,공공기관-국가공공기관,사직지구대,개방화장실,부산광역시,동래구,부산광역시 동래구 중앙대로 1277번길 41,사직지구대,부산광역시 동래구 사직동 147-7,사직지구대,35.2007338,129.0755672,N,0,0,0,1,1,0,0,0,1,0,사직지구대,051-502-011,00:00~24:00 ,1979.10.1,수세식,N,Y,남자화장실/여자화장실,Y,N,,2024.12.22,2025.6.27
46,Y,법제3조제16호-영제3조제1항제1호,사직지구대,공공기관-국가공공기관,사직1치안센터,개방화장실,부산광역시,동래구,부산광역시 동래구 아시아드대로 181,사직1치안센터,부산광역시 동래구 사직동 56-12,사직1치안센터,35.2007875,129.064517,Y,2,0,0,0,0,0,0,0,0,0,사직지구대,051-503-6668,09:00~18:00,1979.10.1,수세식,N,N,,N,N,,,2025.6.27
47,Y,법제3조제16호-영제3조제1항제1호,사직지구대,공공기관-국가공공기관,사직2치안센터,개방화장실,부산광역시,동래구,부산광역시 동래구 사직북로63번길 22,사직2치안센터,부산광역시 동래구 사직동 29-8,사직2치안센터,35.1992216,129.0575016,Y,2,0,0,0,0,0,0,0,0,0,사직지구대,051-501-0943,09:00~18:00,1979.10.1,수세식,N,N,,Y,N,,,2025.6.27
48,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,동래구보건소,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로187번길 56 (명륜동),,부산광역시 동래구 명륜동 702-54,,35.211401,129.079849,N,0,9,14,2,4,0,0,11,2,0,동래구 보건행정과,051-555-4000,09:00~18:00,2024.8.4,수세식,N,N,,Y,N,해당없음,,2025.6.27
49,Y,법제3조제16호-영제3조제1항제4호,부산광역시,"공공기관-지방공공기관(지방공기업,지방출자출연기관)",명장도서관,개방화장실,부산광역시,동래구,부산광역시 동래구46번길 35,,부산광역시 동래구 명장동 611-4,,35.200872,129.106606,N,0,5,6,1,0,0,0,7,0,0,명장도서관,051-527-0582,07:00~22:00,1993.3.1,수세식,N,N,,Y,N,,-,2025.6.27
50,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,명장제1동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 명장로32,,부산광역시 동래구 명장동 133-5,,35.2047638,129.1042668,N,0,4,5,1,0,0,0,7,1,0,동래구 명장1동 주민센터,051-550-6548,09:00~18:00,1999.3.1,수세식,N,N,,N,N,,,2025.6.27
51,Y,법제3조제16호-영제3조제1항제3호,동래구,공공기관-지방자치단체,안락제1동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 안연로110번길 9,,부산광역시 동래구 안락동 433-24,,35.197135,129.098596,N,0,1,2,1,0,0,0,2,1,0,부산광역시 동래구 안락1동 행정복지센터,051-550-6501,(평일)09:00~18:00,1982.9.1,수세식,N,N,,N,Y,남자화장실/여자화장실,,2025.6.27
52,Y,법제3조제16호-영제3조제1항제3호,동래구,공공기관-지방자치단체,안락제2동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 명안로18번길 103,"1, 2층",부산광역시 동래구 안락동 464-38,"1, 2층",35.1977263,129.1100885,N,0,3,2,1,1,0,0,3,1,0,부산광역시 동래구 안락2동 행정복지센터,051-550-6522,(평일)09:00~18:00,1984.2.1,수세식,N,N,,N,N,,2024.5.18,2025.6.27
53,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,사직제3동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 아시아드대로154번길 79,"1, 2층",부산광역시 동래구 사직동 123-23,"1, 2층",35.1994613,129.069458,N,0,1,1,0,0,0,0,1,1,0,부산광역시 동래구 사직3동 행정복지센터,051-550-6487,(평일)09:00~18:00,1980.6.1,수세식,N,N,,N,N,,,2025.6.27
54,Y,법제3조제16호-영제3조제1항제1호,동래경찰서,공공기관-지방자치단체,내성지구대,개방화장실,부산광역시,동래구,부산광역시 동래구 동래로 109,,부산광역시 동래구 명륜동 250-5,,35.207324,129.084524,N,0,1,1,1,1,0,0,0,1,0,내성지구대,051-552-1054,09:00~18:00,2011.11.1,수세식,N,Y,남자화장실/여자화장실,Y,Y,여자화장실/장애인화장실,,2025.6.27
55,Y,법제3조제17호-영제3조제2항제1호,한국국토정보공사 부산울산지역본부,공공기관-특별법에 따라 설립된 법인,한국국토정보공사 부산울산지역본부,개방화장실,부산광역시,동래구,부산광역시 동래구 금강로 77,,부산광역시 동래구 온천동 439-2,,35.216197,129.077736,N,0,8,14,1,1,0,0,4,1,0,한국국토정보공사 부산울산지역본부,051-794-5034,09:00~18:00,2008.9.29,수세식,N,N,,N,N,,,2025.6.27
56,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,동래우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 명륜로 169,,부산광역시 동래구 명륜동 638-13,,35.208764,129.081954,N,0,12,18,1,1,0,0,12,1,0,동래우체국,051-559-7014,09:00~18:00,2024.3.8,수세식,N,N,,N,N,,,2025.6.27
57,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,동래온천우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 금강로 106-1,,부산광역시 동래구 온천동 193-9,,35.21825,129.079497,Y,2,0,1,0,0,0,0,0,0,0,동래온천우체국,051-552-0850,09:00~18:00,1995.11.1,수세식,N,N,,Y,N,,,2025.6.27
58,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,수안동 우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로244-1,,부산광역시 동래구 수안동 264-1,,35.201169,129.085919,N,0,1,1,1,1,0,0,2,1,0,부산수안동우체국,051-552-0827,09:00~18:00,1981.9.1,수세식,N,N,,Y,N,,,2025.6.27
59,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,사직 우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 아시아드대로154,,부산광역시 동래구 사직동 64-6,,35.198365,129.065579,N,0,1,1,0,0,0,0,1,0,0,부산사직동우체국,051-502-3820,09:00~18:00,1998.11.1,수세식,N,N,,N,N,,,2025.6.27
60,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,부산온천3동우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 석사북로106,,부산광역시 동래구 온천동 1248-1,,35.205264,129.067394,N,0,1,1,0,0,0,0,1,0,0,부산온천3동우체국,051-505-8004,09:00~18:00,1986.8.1,수세식,N,N,,N,N,,,2025.6.27
61,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,명장동 우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 명안로78번길24,,부산광역시 동래구 명장동 138-2,,35.203344,129.105553,Y,2,0,1,0,0,0,0,0,0,0,부산명장동우체국,051-521-2004,09:00~18:00,1989.8.1,수세식,N,N,,Y,N,,,2025.6.27
62,Y,법제3조제16호-영제3조제1항제1호,동래우체국,공공기관-국가공공기관,부산안락동우체국,개방화장실,부산광역시,동래구,부산광역시 동래구 충렬대로395,,부산광역시 동래구 안락동 555-6,,35.197188,129.101706,N,0,1,1,0,0,0,0,1,0,0,부산안락동우체국,051-529-2006,09:00~18:00,1991.12.1,수세식,N,N,,Y,N,,,2025.6.27
63,Y,법제3조제16호-영제3조제1항제1호,동래경찰서,공공기관-국가공공기관,온천지구대,개방화장실,부산광역시,동래구,부산광역시 동래구 우장춘로 16,,부산광역시 동래구 온천동 929-5,,35.209199,129.070381,N,0,1,1,1,1,0,0,1,1,0,동래경찰서 온천지구대,051-555-0112,00:00~24:00,2024.11.21,수세식,N,Y,남자화장실/여자화장실,N,N,장애인화장실,,2025.6.27
64,Y,법제3조제16호-영제3조제1항제1호,동래구,공공기관-지방자치단체,수민동 행정복지센터,개방화장실,부산광역시,동래구,부산광역시 동래구 온천천로339번길 48,"1,2층",부산광역시 동래구 낙민동 135-10,"1,2층",35.1960329,129.0910493,N,0,4,2,1,0,0,0,8,0,0,동래구 수민동행정복지센터,051-550-6309,09:00~18:00,2024.4.7,수세식,N,N,,N,N,,,2025.6.27
